FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME
2,7.25,7.25,3,7.40,7.40,1,7.03,7.03,4,7.84,7.84
2,9.58,16.83,3,9.58,16.98,1,9.68,16.71,4,10.13,17.97
2,9.11,25.94,3,9.05,26.03,1,9.15,25.86,4,9.84,27.81
2,9.25,35.19,3,9.32,35.35,1,9.28,35.14,4,10.21,38.02
1,9.58,44.765,3,9.84,45.183,2,9.92,45.057,4,11.02,49.036
