Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
4,10.09,10.09,3,9.90,9.90,5,10.33,10.33,2,9.87,9.87,1,9.76,9.76,6,10.48,10.48
5,13.04,23.13,3,13.13,23.03,6,12.92,23.25,1,12.87,22.74,2,13.15,22.91,4,12.65,23.13
6,11.96,35.09,3,11.94,34.97,1,11.57,34.82,2,12.14,34.88,4,12.12,35.03,5,11.93,35.06
5,10.73,45.82,4,10.75,45.72,2,10.69,45.51,3,10.72,45.60,6,11.01,46.04,1,10.33,45.39
5,11.06,56.88,1,10.84,56.56,3,11.15,56.66,4,11.20,56.80,6,11.00,57.04,2,11.17,56.56
5,10.18,1:07.06,1,9.78,1:06.34,2,10.00,1:06.66,4,10.07,1:06.87,6,10.15,1:07.19,3,10.22,1:06.78
5,9.87,1:16.93,1,10.11,1:16.45,2,9.97,1:16.63,4,9.96,1:16.83,6,9.82,1:17.01,3,9.97,1:16.75
5,10.28,1:27.21,1,10.38,1:26.83,2,10.32,1:26.95,3,10.21,1:27.04,6,10.37,1:27.38,4,10.29,1:27.04
5,10.34,1:37.55,1,10.27,1:37.10,2,10.27,1:37.22,4,10.38,1:37.42,6,10.32,1:37.70,3,10.29,1:37.33
5,10.03,1:47.58,2,9.98,1:47.08,1,9.54,1:46.76,4,9.87,1:47.29,6,10.12,1:47.82,3,9.77,1:47.10
5,10.22,1:57.80,3,9.83,1:56.91,1,9.33,1:56.09,4,9.69,1:56.98,6,10.25,1:58.07,2,9.33,1:56.43
5,10.70,2:08.50,3,9.99,2:06.90,1,9.33,2:05.42,4,10.04,2:07.02,6,10.55,2:08.62,2,9.31,2:05.74
6,11.20,2:19.70,3,10.45,2:17.35,1,9.32,2:14.74,4,10.38,2:17.40,5,10.77,2:19.39,2,9.08,2:14.82
6,12.10,2:31.794,3,10.74,2:28.090,2,9.51,2:24.248,4,10.96,2:28.351,5,11.21,2:30.596,1,9.20,2:24.018
