HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME
1,6.60,6.60,2,6.81,6.81,3,6.86,6.86,4,6.86,6.86
2,8.91,15.52,1,8.70,15.51,4,8.94,15.81,3,8.94,15.80
1,8.48,24.00,2,8.54,24.06,3,8.45,24.27,4,8.54,24.34
1,8.51,32.52,2,8.51,32.57,4,8.64,32.91,3,8.29,32.64
1,8.81,41.327,2,8.84,41.401,3,8.56,41.465,4,9.69,42.325
