Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
3,7.21,7.21,1,6.98,6.98,4,7.48,7.48,2,7.11,7.11
3,9.09,16.30,2,9.15,16.13,4,9.19,16.67,1,8.81,15.92
3,8.70,25.00,2,8.80,24.93,4,8.70,25.37,1,8.50,24.42
2,9.01,34.01,3,9.25,34.18,4,8.90,34.27,1,8.61,33.03
2,9.02,43.027,3,27.68,1:01.855,0,,PEN,1,8.86,41.882
