Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
1,6.83,6.83,2,7.02,7.02,3,7.10,7.10,4,7.26,7.26
2,9.22,16.05,1,9.00,16.02,3,9.04,16.14,4,9.00,16.26
2,8.70,24.75,1,8.59,24.61,3,8.70,24.84,4,8.68,24.94
2,8.60,33.35,1,8.63,33.24,4,35.23,1:00.07,3,8.54,33.48
2,8.74,42.083,1,8.78,42.011,4,17.65,1:17.712,3,8.69,42.167
