HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Lorenzo MORRONE POSITION,Lorenzo MORRONE LAP TIME,Lorenzo MORRONE ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME
1,6.97,6.97,3,7.09,7.09,2,7.08,7.08,4,7.30,7.30,5,7.44,7.44
1,8.82,15.79,2,8.82,15.91,2,8.83,15.91,4,9.05,16.35,5,9.13,16.57
1,8.52,24.31,2,8.48,24.39,3,8.52,24.43,4,8.64,24.99,5,8.67,25.24
2,8.68,32.99,1,8.54,32.93,3,8.82,33.25,4,8.89,33.88,5,8.78,34.02
2,8.99,41.98,1,8.71,41.64,3,8.90,42.154,4,9.12,43.003,5,9.24,43.261
