SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
3,10.47,10.47,5,10.83,10.83,2,10.31,10.31,4,10.69,10.69,1,10.18,10.18,7,11.03,11.03,6,10.91,10.91
3,13.14,23.61,6,13.03,23.86,2,13.19,23.50,5,13.07,23.76,1,13.25,23.43,7,12.97,24.00,4,12.79,23.70
3,12.06,35.67,6,12.15,36.01,2,12.07,35.57,5,12.16,35.92,1,11.98,35.41,7,12.19,36.19,4,12.10,35.80
3,11.52,47.19,6,11.49,47.50,2,11.55,47.12,5,11.49,47.41,1,11.57,46.98,7,11.43,47.62,4,11.48,47.28
3,11.59,58.78,6,11.61,59.11,2,11.54,58.66,5,11.55,58.96,1,11.49,58.47,7,11.66,59.28,4,11.51,58.79
6,10.88,1:09.66,5,10.52,1:09.63,2,10.69,1:09.35,4,10.59,1:09.55,1,10.74,1:09.21,7,10.54,1:09.82,3,10.66,1:09.45
7,10.66,1:20.32,5,10.55,1:20.18,2,10.51,1:19.86,4,10.53,1:20.08,1,10.51,1:19.72,6,10.46,1:20.28,3,10.51,1:19.96
5,10.03,1:30.35,4,10.00,1:30.18,2,10.09,1:29.95,3,9.98,1:30.06,1,10.12,1:29.84,7,10.13,1:30.41,6,10.41,1:30.37
6,9.93,1:40.28,5,10.01,1:40.19,2,9.92,1:39.87,3,9.92,1:39.98,1,9.91,1:39.75,4,9.61,1:40.02,7,10.05,1:40.42
6,9.85,1:50.13,5,9.83,1:50.02,1,9.62,1:49.49,3,9.70,1:49.68,2,9.75,1:49.50,4,9.82,1:49.84,7,9.85,1:50.27
6,9.53,1:59.66,5,9.56,1:59.58,1,9.17,1:58.66,3,9.25,1:58.93,2,9.27,1:58.77,4,9.16,1:59.00,7,9.71,1:59.98
6,9.74,2:09.40,5,9.73,2:09.31,1,9.07,2:07.73,4,9.34,2:08.27,2,9.10,2:07.87,3,9.05,2:08.05,7,10.04,2:10.02
6,10.21,2:19.61,5,9.99,2:19.30,1,9.02,2:16.75,4,9.54,2:17.81,2,9.17,2:17.04,3,9.19,2:17.24,7,10.43,2:20.45
6,10.60,2:30.195,5,10.30,2:29.572,1,9.25,2:25.989,4,10.06,2:27.843,2,9.46,2:26.486,3,9.30,2:26.532,7,10.90,2:31.344
