CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME
1,12.480,12.480,4,13.208,13.208,2,12.555,12.555,3,12.609,12.609
1,9.440,21.919,4,9.205,22.412,2,9.419,21.974,3,9.787,22.396
1,9.040,30.958,3,9.259,31.671,2,9.176,31.149,4,11.644,34.039
2,9.210,40.168,4,9.091,40.762,3,9.098,40.247,1,5.976,40.015
1,9.080,49.247,4,9.094,49.855,3,9.320,49.566,2,9.381,49.395
1,9.085,58.332,4,9.444,59.299,3,9.202,58.768,2,9.359,58.753
1,9.217,1:07.548,4,9.139,1:08.438,3,9.151,1:07.919,2,8.822,1:07.575
2,9.245,1:16.792,4,8.979,1:17.416,3,9.004,1:16.922,1,9.024,1:16.598
2,9.279,1:26.070,1,8.640,1:26.055,3,9.213,1:26.134,4,9.878,1:26.476
1,9.174,1:35.244,4,9.793,1:35.848,3,9.441,1:35.575,2,9.076,1:35.551
1,9.240,1:44.484,4,9.552,1:45.399,3,9.220,1:44.795,2,9.239,1:44.789
1,8.980,1:53.464,4,9.329,1:54.728,2,9.411,1:54.206,3,9.533,1:54.322
1,9.112,2:02.575,4,8.997,2:03.725,3,9.037,2:03.243,2,8.536,2:02.857
1,9.018,2:11.593,3,8.992,2:12.717,2,8.940,2:12.182,4,9.984,2:12.840
1,9.030,2:20.622,4,9.102,2:21.818,3,9.100,2:21.281,2,8.117,2:20.957
1,9.167,2:29.789,4,9.152,2:30.970,3,9.283,2:30.563,2,9.398,2:30.354
1,9.268,2:39.056,4,9.144,2:40.114,3,9.230,2:39.793,2,9.132,2:39.486
1,9.095,2:48.151,4,9.053,2:49.166,3,9.118,2:48.911,2,8.881,2:48.366
2,9.353,2:57.504,4,8.981,2:58.147,3,9.235,2:58.145,1,9.065,2:57.430
1,8.994,3:06.497,4,9.206,3:07.353,3,8.864,3:07.009,2,9.251,3:06.680
1,9.102,3:15.599,4,9.023,3:16.376,3,9.180,3:16.188,2,9.363,3:16.043
2,9.209,3:24.807,4,9.359,3:25.734,3,9.292,3:25.480,1,8.711,3:24.754
1,9.230,3:34.036,4,9.297,3:35.030,3,9.338,3:34.817,2,9.825,3:34.579
1,9.112,3:43.148,3,8.805,3:43.834,4,9.263,3:44.080,2,9.205,3:43.784
1,9.339,3:52.486,2,8.913,3:52.747,4,9.172,3:53.252,3,9.152,3:52.936
1,9.144,4:01.630,3,9.398,4:02.144,4,9.270,4:02.522,2,8.892,4:01.828
1,9.254,4:10.883,2,9.099,4:11.242,4,9.156,4:11.677,3,9.760,4:11.588
1,9.081,4:19.964,2,8.953,4:20.195,4,9.228,4:20.905,3,8.970,4:20.557
1,9.331,4:29.294,2,9.210,4:29.404,4,9.348,4:30.252,3,9.563,4:30.120
2,9.136,4:38.430,1,8.862,4:38.265,3,9.535,4:39.787,4,9.839,4:39.959
2,9.231,4:47.660,1,9.054,4:47.318,4,9.379,4:49.166,3,8.864,4:48.823
2,9.288,4:56.947,1,9.234,4:56.551,4,9.271,4:58.437,3,9.359,4:58.181
2,9.136,5:06.083,1,8.634,5:05.185,3,9.168,5:07.605,4,9.484,5:07.664
2,9.112,5:15.194,1,9.818,5:15.003,4,14.908,5:22.512,3,8.350,5:16.014
2,9.313,5:24.507,1,9.294,5:24.296,3,9.737,5:32.248,4,17.491,5:33.505
2,9.289,5:33.796,1,9.075,5:33.370,3,10.278,5:42.526,4,9.846,5:43.350
2,9.785,5:43.581,1,9.124,5:42.493,3,10.467,5:52.992,4,9.896,5:53.246
2,9.661,5:53.242,1,9.088,5:51.581,4,10.053,6:03.045,3,9.583,6:02.828
2,9.491,6:02.733,1,9.480,6:01.060,4,10.053,6:13.097,3,9.814,6:12.642
2,9.324,6:12.056,1,9.540,6:10.600,4,9.786,6:22.883,3,9.374,6:22.016
2,9.553,6:21.609,1,10.024,6:20.623,4,9.789,6:32.672,3,9.425,6:31.440
2,9.395,6:31.003,1,9.639,6:30.262,3,9.685,6:42.356,4,12.960,6:44.400
2,9.560,6:40.563,1,9.342,6:39.604,4,9.587,6:51.943,3,6.906,6:51.306
2,9.707,6:50.269,1,9.242,6:48.845,4,9.860,7:01.803,3,9.711,7:01.016
2,10.23,7:00.491,1,10.45,6:59.286,4,10.75,7:12.545,3,10.01,7:11.022
