Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
2,14.12,14.12,1,14.02,14.02,3,14.32,14.32
2,11.64,25.76,1,11.37,25.39,3,11.55,25.87
2,10.25,36.01,1,10.48,35.87,3,10.36,36.23
3,10.30,46.31,1,10.08,45.95,2,10.05,46.28
2,9.78,56.09,3,10.29,56.24,1,9.76,56.04
2,10.05,1:06.14,3,10.03,1:06.27,1,9.87,1:05.91
2,9.89,1:16.03,3,10.26,1:16.53,1,10.03,1:15.94
2,10.35,1:26.38,3,10.59,1:27.12,1,10.23,1:26.17
2,10.33,1:36.704,3,11.24,1:38.355,1,10.32,1:36.489
