Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME
1,7.08,7.08,4,7.60,7.60,3,7.31,7.31,2,7.17,7.17,5,7.71,7.71
1,9.12,16.20,4,9.44,17.04,3,9.29,16.60,2,9.11,16.28,5,9.43,17.14
2,8.73,24.93,4,8.81,25.85,3,8.67,25.27,1,8.58,24.86,5,8.80,25.94
2,8.94,33.87,5,9.14,34.99,3,8.85,34.12,1,8.75,33.61,4,8.93,34.87
2,9.01,42.88,5,9.17,44.166,3,9.09,43.21,1,9.11,42.72,4,9.18,44.05
