KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
1,13.47,,4,13.76,13.76,2,13.57,,5,13.85,13.85,2,13.57,13.57
1,10.30,,4,10.38,24.14,2,10.32,,5,10.41,24.26,3,10.44,24.01
1,10.28,,4,10.30,34.44,2,10.27,,5,10.31,34.57,3,10.28,34.29
2,9.91,,4,9.74,44.18,1,9.69,,5,9.72,44.29,3,9.79,44.08
2,9.81,,4,9.79,53.97,1,9.80,,5,9.81,54.10,3,9.78,53.86
2,9.61,,4,9.63,1:03.60,1,9.64,,5,9.67,1:03.77,3,9.61,1:03.47
2,9.52,,4,9.51,1:13.11,1,9.52,,5,9.55,1:13.32,3,9.55,1:13.02
2,9.57,,4,9.61,1:22.72,1,9.58,,5,9.76,1:23.08,3,9.62,1:22.64
5,26.05,,1,9.84,1:32.56,4,24.72,,3,9.87,1:32.959,2,10.11,1:32.757
