JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Yelena SKACHKOVA POSITION,Yelena SKACHKOVA LAP TIME,Yelena SKACHKOVA ELAPSED TIME,Andrea DO-DUC POSITION,Andrea DO-DUC LAP TIME,Andrea DO-DUC ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
3,13.740,13.740,1,13.320,13.320,2,13.730,13.730,0,,
2,10.590,24.330,1,10.480,23.800,3,10.670,24.400,0,,
2,10.810,35.150,1,11.020,34.820,3,10.740,35.150,0,,
3,10.650,45.800,2,10.850,45.680,4,10.750,45.910,1,0.000,45.650
3,10.390,56.190,1,10.250,55.930,4,10.480,56.390,2,10.360,56.010
2,9.990,1:06.190,1,10.090,1:06.030,4,10.680,1:07.070,3,10.260,1:06.280
2,9.900,1:16.100,1,10.020,1:16.050,4,11.190,1:18.270,3,9.870,1:16.160
1,9.520,1:25.620,3,10.070,1:26.130,4,11.520,1:29.790,2,9.620,1:25.780
1,10.000,1:35.630,2,10.450,1:36.590,4,12.210,1:42.000,3,11.080,1:36.860
