Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Urban KALSEK POSITION,Urban KALSEK LAP TIME,Urban KALSEK ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Paulius GLUSINAS POSITION,Paulius GLUSINAS LAP TIME,Paulius GLUSINAS ELAPSED TIME
3,9.170,9.170,6,9.558,9.558,4,9.276,9.276,2,9.140,9.140,5,9.364,9.364,1,9.097,9.097
2,10.655,19.825,5,10.758,20.315,3,10.754,20.030,4,10.909,20.049,1,10.453,19.817,6,11.536,20.633
2,10.642,30.467,5,10.543,30.859,3,10.493,30.523,4,10.575,30.623,1,10.639,30.456,6,10.346,30.979
1,10.334,40.801,4,10.407,41.265,3,10.302,40.825,5,10.756,41.379,2,10.346,40.803,6,10.585,41.564
2,10.164,50.964,5,10.046,51.311,3,10.148,50.973,4,9.900,51.279,1,10.147,50.949,6,10.445,52.008
2,10.311,1:01.275,4,10.266,1:01.577,3,10.479,1:01.453,5,10.394,1:01.673,1,10.317,1:01.266,6,10.451,1:02.459
3,10.363,1:11.638,5,10.435,1:12.012,2,10.180,1:11.633,4,10.192,1:11.865,1,10.280,1:11.546,6,10.627,1:13.086
3,10.257,1:21.895,5,10.454,1:22.466,2,10.258,1:21.891,4,10.251,1:22.116,1,10.295,1:21.841,6,10.843,1:23.929
2,10.164,1:32.059,5,10.740,1:33.206,3,10.212,1:32.103,4,10.027,1:32.143,1,10.173,1:32.013,6,11.105,1:35.034
2,10.004,1:42.063,5,11.307,1:44.513,3,10.000,1:42.103,4,10.162,1:42.305,1,10.016,1:42.029,6,11.269,1:46.303
2,9.901,1:51.964,5,11.852,1:56.365,3,9.935,1:52.037,4,9.997,1:52.302,1,9.913,1:51.942,6,11.167,1:57.470
1,9.744,2:01.708,5,11.996,2:08.360,3,9.891,2:01.929,4,10.190,2:02.493,2,9.800,2:01.742,6,11.088,2:08.558
1,9.848,2:11.556,6,12.212,2:20.573,3,10.427,2:12.356,4,10.778,2:13.271,2,9.832,2:11.575,5,11.500,2:20.058
1,10.204,2:21.760,6,13.803,2:34.376,3,11.109,2:23.465,4,10.953,2:24.224,2,10.794,2:22.368,5,11.873,2:31.931
