Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
2,13.79,13.79,4,13.87,13.87,1,13.74,13.74,3,13.85,13.85
3,10.46,24.25,4,10.52,24.39,2,10.38,24.12,1,10.09,23.94
1,9.75,34.00,4,9.97,34.36,3,10.16,34.28,2,10.27,34.21
3,10.22,44.22,1,9.76,44.12,2,9.91,44.19,4,10.14,44.35
2,9.73,53.95,3,9.97,54.09,1,9.67,53.86,4,9.85,54.20
2,9.84,1:03.79,3,9.81,1:03.90,1,9.84,1:03.70,4,9.83,1:04.03
2,9.89,1:13.68,3,9.89,1:13.79,1,9.89,1:13.59,4,9.88,1:13.91
1,9.81,1:23.49,3,10.03,1:23.82,2,10.02,1:23.61,4,10.01,1:23.92
1,9.94,1:33.422,3,9.87,1:33.683,2,9.98,1:33.581,4,9.98,1:33.897
