Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,SON Soo-Min POSITION,SON Soo-Min LAP TIME,SON Soo-Min ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,14.339,14.339,3,14.503,14.503,2,14.428,14.428,4,14.560,14.560
2,10.811,25.150,4,10.953,25.457,3,10.759,25.187,1,10.414,24.974
1,11.084,36.234,4,11.081,36.538,3,11.221,36.408,2,11.375,36.349
1,11.158,47.392,4,11.180,47.717,2,10.996,47.404,3,11.176,47.525
2,10.091,57.483,3,9.991,57.708,1,10.070,57.474,4,10.294,57.819
1,9.532,1:07.015,4,9.690,1:07.398,2,9.608,1:07.082,3,9.484,1:07.303
1,9.513,1:16.528,4,9.678,1:17.076,2,9.520,1:16.602,3,9.337,1:16.640
2,9.765,1:26.293,4,10.310,1:27.386,1,9.678,1:26.280,3,9.963,1:26.602
2,9.922,1:36.215,4,11.095,1:38.480,1,9.893,1:36.173,3,10.273,1:36.875
