Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME
3,15.46,15.46,1,15.11,15.11,2,15.35,15.35,4,15.69,15.69
4,11.99,27.45,1,11.99,27.10,2,11.91,27.26,3,11.71,27.40
3,11.17,38.62,1,11.21,38.31,2,11.24,38.50,4,11.26,38.66
3,9.82,48.44,2,10.00,48.31,1,9.73,48.23,4,9.82,48.48
2,9.35,57.79,3,9.59,57.90,1,9.46,57.69,4,9.49,57.97
2,9.43,1:07.22,3,9.36,1:07.26,1,9.32,1:07.01,4,9.44,1:07.41
1,9.12,1:16.34,3,9.30,1:16.56,2,9.34,1:16.35,4,9.28,1:16.69
1,9.15,1:25.49,3,9.54,1:26.10,2,9.26,1:25.61,4,9.50,1:26.19
1,9.34,1:34.822,4,10.10,1:36.194,2,9.36,1:34.970,3,9.50,1:35.688
