Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME
1,12.900,12.900,4,13.260,13.260,2,13.020,13.020,3,13.140,13.140
3,10.400,23.300,4,10.150,23.410,1,10.200,23.220,2,10.150,23.300
1,9.660,32.970,4,9.870,33.290,2,9.840,33.070,3,9.880,33.180
1,9.820,42.790,4,9.840,43.140,2,9.870,42.940,3,9.790,42.970
1,9.850,52.640,4,9.810,52.950,2,9.800,52.740,3,9.870,52.850
1,9.690,1:02.330,4,9.770,1:02.730,2,9.810,1:02.560,3,9.710,1:02.560
1,9.740,1:12.080,4,9.670,1:12.410,2,9.550,1:12.110,3,9.700,1:12.270
2,9.780,1:21.860,1,9.430,1:21.840,3,9.870,1:21.980,4,9.920,1:22.190
1,9.970,1:31.840,2,10.120,1:31.960,3,10.090,1:32.070,4,9.950,1:32.140
