Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
5,9.30,9.30,1,8.30,8.30,3,8.97,8.97,2,8.87,8.87,4,9.09,9.09
5,11.68,20.98,1,11.81,20.11,2,11.55,20.52,3,11.91,20.78,4,11.80,20.89
3,10.62,31.60,1,11.30,31.41,2,10.99,31.51,4,10.95,31.73,5,10.98,31.87
3,11.44,43.04,1,11.47,42.88,2,11.44,42.95,4,11.41,43.14,5,11.35,43.22
3,11.81,54.85,1,11.54,54.42,2,11.79,54.74,4,11.82,54.96,5,11.87,55.09
3,11.55,1:06.40,1,11.81,1:06.23,2,11.57,1:06.31,4,11.58,1:06.54,5,11.59,1:06.68
3,11.97,1:18.37,1,11.94,1:18.17,2,11.96,1:18.27,4,11.98,1:18.52,5,11.97,1:18.65
1,10.89,1:29.26,5,11.95,1:30.12,2,11.04,1:29.31,3,11.12,1:29.64,4,11.12,1:29.77
2,10.95,1:40.21,5,11.03,1:41.15,1,10.69,1:40.00,3,10.61,1:40.25,4,10.68,1:40.45
2,10.40,1:50.61,5,11.00,1:52.15,1,10.53,1:50.53,3,10.51,1:50.76,4,10.44,1:50.89
2,10.39,2:01.00,5,11.49,2:03.64,1,10.35,2:00.88,3,10.37,2:01.13,4,10.39,2:01.28
3,10.32,2:11.32,5,12.14,2:15.78,1,10.09,2:10.97,2,10.18,2:11.31,4,10.23,2:11.51
4,10.53,2:21.85,5,12.45,2:28.23,2,9.78,2:20.75,1,9.36,2:20.67,3,10.01,2:21.52
4,11.16,2:33.002,5,12.89,2:41.118,2,10.17,2:30.911,1,9.93,2:30.598,3,10.76,2:32.279
