Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
2,12.63,12.63,3,12.88,12.88,4,13.09,13.09,1,12.48,12.48
2,9.61,22.24,3,9.52,22.40,4,9.42,22.51,1,9.66,22.14
2,9.62,31.86,3,9.57,31.97,4,9.57,32.08,1,9.59,31.73
2,9.64,41.50,3,9.60,41.57,4,9.54,41.62,1,9.63,41.36
2,9.40,50.90,3,9.44,51.01,4,9.53,51.15,1,9.41,50.77
2,9.34,1:00.24,3,9.33,1:00.34,4,9.35,1:00.50,1,9.35,1:00.12
2,9.35,1:09.59,3,9.33,1:09.67,4,9.29,1:09.79,1,9.17,1:09.29
2,9.37,1:18.96,3,9.38,1:19.05,4,9.32,1:19.11,1,9.30,1:18.59
3,9.90,1:28.855,2,9.60,1:28.644,4,9.83,1:28.931,1,9.65,1:28.240
