Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
2,7.66,7.66,5,8.41,8.41,1,7.49,7.49,4,8.17,8.17,3,7.92,7.92
2,9.59,17.25,5,9.97,18.38,1,9.62,17.11,4,9.93,18.10,3,9.54,17.46
2,9.15,26.40,5,9.44,27.82,1,9.20,26.31,4,9.21,27.31,3,9.03,26.49
3,9.42,35.82,5,9.88,37.70,2,9.46,35.77,4,9.52,36.83,1,9.18,35.67
3,9.62,45.428,5,10.27,47.956,2,9.59,45.357,4,9.70,46.526,1,9.40,45.069
