Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
2,14.36,14.36,3,14.47,14.47,1,14.25,14.25,4,14.60,14.60
3,10.87,25.23,2,10.73,25.20,1,10.90,25.15,4,10.87,25.47
2,10.24,35.47,3,10.36,35.56,1,10.22,35.37,4,10.26,35.73
2,10.85,46.32,3,10.88,46.44,1,10.84,46.21,4,10.84,46.57
2,10.81,57.13,3,10.81,57.25,1,10.81,57.02,4,10.80,57.37
2,10.31,1:07.44,3,10.33,1:07.58,1,10.39,1:07.41,4,10.71,1:08.08
1,9.82,1:17.26,2,9.94,1:17.52,3,10.28,1:17.69,4,11.17,1:19.25
1,10.08,1:27.34,2,10.05,1:27.57,3,10.15,1:27.84,4,11.61,1:30.86
1,10.45,1:37.788,2,10.41,1:37.977,3,10.74,1:38.579,4,11.81,1:42.670
