CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
1,13.20,13.20,3,13.44,13.44,4,13.54,13.54,2,13.33,13.33,5,13.68,13.68
1,10.63,23.83,3,10.60,24.04,4,10.61,24.15,2,10.62,23.95,5,10.62,24.30
1,10.64,34.47,3,10.68,34.72,4,10.68,34.83,2,10.67,34.62,5,10.63,34.93
2,10.12,44.59,3,9.97,44.69,4,9.97,44.80,1,9.85,44.47,5,10.20,45.13
2,9.63,54.22,3,9.64,54.33,4,9.63,54.43,1,9.67,54.14,5,9.90,55.03
1,9.63,1:03.85,3,9.74,1:04.07,4,9.68,1:04.11,2,9.83,1:03.97,5,10.09,1:05.12
1,9.63,1:13.48,4,9.72,1:13.79,3,9.58,1:13.69,2,9.63,1:13.60,5,10.44,1:15.56
1,9.71,1:23.19,4,9.66,1:23.45,3,9.60,1:23.29,2,9.69,1:23.29,5,10.97,1:26.53
1,9.85,1:33.031,3,9.87,1:33.320,4,10.40,1:33.686,2,9.78,1:33.062,5,11.51,1:38.035
