Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
2,13.671,13.671,4,13.838,13.838,1,13.572,13.572,3,13.727,13.727
2,9.957,23.628,4,9.941,23.778,3,10.161,23.733,1,9.839,23.565
1,9.734,33.362,3,9.783,33.560,4,9.829,33.561,2,9.904,33.469
2,10.217,43.578,4,10.218,43.777,1,9.897,43.457,3,10.147,43.615
4,10.100,53.678,2,9.763,53.539,3,10.165,53.621,1,9.862,53.477
4,9.716,1:03.394,2,9.815,1:03.354,3,9.760,1:03.381,1,9.498,1:02.975
2,8.962,1:12.355,4,9.371,1:12.725,3,9.296,1:12.677,1,9.249,1:12.224
4,9.615,1:21.970,3,9.165,1:21.889,2,9.057,1:21.733,1,9.426,1:21.650
2,9.43,1:31.393,3,9.60,1:31.486,4,9.91,1:31.639,1,9.66,1:31.309
