Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
2,8.28,8.28,4,8.53,8.53,3,8.44,8.44,1,8.18,8.18,6,8.64,8.64,5,8.63,8.63
2,11.76,20.04,4,11.71,20.24,3,11.73,20.17,1,11.74,19.92,6,11.79,20.43,5,11.70,20.33
2,10.69,30.73,5,10.81,31.05,3,10.65,30.82,1,10.70,30.62,4,10.51,30.94,6,10.81,31.14
3,10.36,41.09,5,10.29,41.34,2,10.25,41.07,1,10.36,40.98,4,10.28,41.22,6,10.31,41.45
3,10.23,51.32,5,10.19,51.53,2,10.17,51.24,1,10.18,51.16,4,10.19,51.41,6,10.17,51.62
3,10.00,1:01.32,5,9.95,1:01.48,2,9.96,1:01.20,1,9.94,1:01.10,4,10.00,1:01.41,6,9.99,1:01.61
4,9.87,1:11.19,5,9.78,1:11.26,2,9.74,1:10.94,1,9.75,1:10.85,3,9.62,1:11.03,6,9.75,1:11.36
4,9.49,1:20.68,5,9.50,1:20.76,1,9.47,1:20.41,2,9.56,1:20.41,3,9.52,1:20.55,6,9.52,1:20.88
3,9.19,1:29.87,4,9.25,1:30.01,6,10.44,1:30.85,1,9.19,1:29.60,2,9.21,1:29.76,5,9.36,1:30.24
3,9.06,1:38.93,4,9.02,1:39.03,6,9.24,1:40.09,1,9.11,1:38.71,2,9.07,1:38.83,5,9.31,1:39.55
3,9.06,1:47.99,4,9.06,1:48.09,5,8.97,1:49.06,1,8.91,1:47.62,2,9.09,1:47.92,6,9.70,1:49.25
4,9.52,1:57.51,3,9.30,1:57.39,5,9.12,1:58.18,1,8.93,1:56.55,2,9.35,1:57.27,6,10.34,1:59.59
4,9.54,2:07.05,3,9.57,2:06.96,5,9.15,2:07.33,1,9.27,2:05.82,2,9.49,2:06.76,6,10.92,2:10.51
4,9.51,2:16.560,5,9.80,2:16.756,3,9.20,2:16.525,1,9.91,2:15.729,2,9.70,2:16.460,6,10.93,2:21.436
