SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
2,14.79,14.79,3,14.91,14.91,1,14.64,14.64,4,15.02,15.02,5,15.17,15.17
2,11.33,26.12,3,11.33,26.24,1,11.36,26.00,4,11.34,26.36,5,11.30,26.47
3,11.33,37.45,4,11.32,37.56,1,11.33,37.33,2,11.05,37.41,5,11.24,37.71
3,10.67,48.12,4,10.66,48.22,2,10.74,48.07,1,10.57,47.98,5,10.62,48.33
3,10.55,58.67,4,10.56,58.78,2,10.50,58.57,1,10.49,58.47,5,10.60,58.93
3,10.04,1:08.71,4,10.05,1:08.83,1,9.99,1:08.56,2,10.18,1:08.65,5,10.06,1:08.99
1,9.55,1:18.26,4,9.72,1:18.55,2,9.73,1:18.29,3,9.71,1:18.36,5,9.90,1:18.89
1,9.05,1:27.31,4,9.59,1:28.14,2,9.55,1:27.84,3,9.58,1:27.94,5,10.40,1:29.29
1,9.36,1:36.67,4,9.78,1:37.92,2,9.66,1:37.50,3,9.71,1:37.65,5,11.45,1:40.74
