Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME,Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME,Kristina PAPP POSITION,Kristina PAPP LAP TIME,Kristina PAPP ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME
1,7.203,7.203,2,7.614,7.614,3,7.618,7.618,5,9.291,9.291,4,7.987,7.987
1,9.889,17.091,2,9.683,17.297,3,9.705,17.323,5,12.747,22.037,4,9.507,17.493
1,9.481,26.571,3,9.821,27.117,2,9.483,26.805,5,12.361,34.398,4,9.847,27.340
2,9.809,36.380,3,9.794,36.911,1,9.484,36.288,5,13.134,47.532,4,9.764,37.103
1,10.23,46.607,4,22.61,59.520,2,10.45,46.732,5,13.27,1:00.797,3,10.29,47.387
