LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
2,10.71,10.71,4,11.07,11.07,6,11.42,11.42,1,10.51,10.51,5,11.22,11.22,3,10.84,10.84
2,13.76,24.47,5,13.79,24.86,1,13.04,24.46,3,14.04,24.55,6,13.84,25.06,4,13.80,24.64
3,11.70,36.17,5,11.45,36.31,1,11.62,36.08,2,11.59,36.14,6,11.43,36.49,4,11.54,36.18
2,10.91,47.08,3,10.89,47.20,6,11.43,47.51,1,10.80,46.94,5,10.91,47.40,4,11.09,47.27
2,10.43,57.51,4,10.51,57.71,1,9.97,57.48,3,10.74,57.68,6,10.57,57.97,5,10.59,57.86
4,9.90,1:07.41,1,9.32,1:07.03,2,9.76,1:07.24,3,9.63,1:07.31,6,9.63,1:07.60,5,9.63,1:07.49
4,9.64,1:17.05,1,9.87,1:16.90,2,9.74,1:16.98,3,9.67,1:16.98,6,9.64,1:17.24,5,9.61,1:17.10
6,9.66,1:26.71,2,9.46,1:26.36,4,9.50,1:26.48,1,9.31,1:26.29,5,9.35,1:26.59,3,9.37,1:26.47
6,9.69,1:36.40,2,9.61,1:35.97,3,9.60,1:36.08,1,9.54,1:35.83,4,9.56,1:36.15,5,9.83,1:36.30
6,9.43,1:45.83,1,9.40,1:45.37,3,9.49,1:45.57,2,9.57,1:45.40,4,9.48,1:45.63,5,9.44,1:45.74
6,9.27,1:55.10,2,9.22,1:54.59,3,9.22,1:54.79,1,9.17,1:54.57,4,9.24,1:54.87,5,9.28,1:55.02
5,8.93,2:04.03,2,9.11,2:03.70,3,9.07,2:03.86,1,9.05,2:03.62,4,9.13,2:04.00,6,9.21,2:04.23
4,8.91,2:12.94,2,9.02,2:12.72,3,8.95,2:12.81,1,9.01,2:12.63,5,9.12,2:13.12,6,9.28,2:13.51
4,9.02,2:21.959,2,9.03,2:21.743,3,9.04,2:21.850,1,9.06,2:21.687,5,9.07,2:22.186,0,,PEN
