Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME
2,14.08,14.08,4,14.27,14.27,1,13.98,13.98,3,14.16,14.16
2,11.26,25.34,4,11.27,25.54,1,11.28,25.26,3,11.29,25.45
3,10.84,36.18,2,10.62,36.16,1,10.85,36.11,4,10.91,36.36
2,10.39,46.57,4,27.75,1:03.91,1,10.21,46.32,3,10.32,46.68
1,9.85,56.42,4,18.15,1:22.06,2,10.20,56.52,3,9.86,56.54
1,9.71,1:06.13,4,14.53,1:36.59,3,9.82,1:06.34,2,9.69,1:06.23
1,9.75,1:15.88,4,12.26,1:48.85,3,9.75,1:16.09,2,9.84,1:16.07
1,9.82,1:25.70,4,12.19,2:01.04,2,10.06,1:26.15,3,10.44,1:26.51
1,10.04,1:35.735,4,12.60,2:13.635,2,9.67,1:35.820,3,9.94,1:36.449
