Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
2,6.94,6.94,1,6.75,6.75,3,7.08,7.08,4,7.29,7.29
2,8.83,15.77,1,8.84,15.59,3,8.80,15.88,4,8.76,16.05
2,8.28,24.05,1,8.45,24.04,3,8.42,24.30,4,8.35,24.40
1,8.60,32.65,2,8.71,32.75,4,8.61,32.91,3,8.45,32.85
1,8.80,41.45,2,8.80,41.55,4,8.86,41.77,3,8.79,41.64
