HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME
3,8.540,8.540,6,8.840,8.840,4,8.550,8.550,2,8.470,8.470,1,8.300,8.300,5,8.700,8.700
4,11.920,20.460,6,11.800,20.640,3,11.780,20.330,5,12.020,20.490,1,11.700,20.000,2,11.460,20.170
4,11.260,31.730,6,13.570,34.210,2,11.230,31.570,5,11.260,31.750,1,11.280,31.280,3,11.420,31.590
4,11.420,43.160,6,9.050,43.270,1,11.210,42.780,5,11.490,43.250,2,11.540,42.830,3,11.490,43.090
5,10.800,53.960,2,10.280,53.550,3,10.980,53.770,6,10.780,54.030,1,10.610,53.440,4,10.830,53.930
6,10.610,1:04.570,2,10.790,1:04.340,5,10.630,1:04.400,3,10.330,1:04.360,1,10.630,1:04.080,4,10.460,1:04.390
6,10.790,1:15.370,4,10.890,1:15.230,2,10.700,1:15.110,3,10.860,1:15.220,1,10.800,1:14.880,5,10.940,1:15.340
2,10.680,1:26.050,4,10.910,1:26.140,3,10.940,1:26.050,5,10.960,1:26.190,1,10.990,1:25.870,6,10.890,1:26.230
4,10.960,1:37.010,5,10.890,1:37.030,2,10.720,1:36.780,6,11.180,1:37.370,1,10.710,1:36.590,3,10.680,1:36.920
5,10.510,1:47.520,6,10.680,1:47.720,4,10.530,1:47.310,3,9.840,1:47.210,2,10.600,1:47.200,1,10.230,1:47.150
5,10.250,1:57.770,6,10.150,1:57.880,3,10.340,1:57.650,4,10.470,1:57.680,1,10.070,1:57.270,2,10.410,1:57.570
5,10.290,2:08.070,6,10.210,2:08.100,4,10.200,2:07.860,2,9.910,2:07.600,3,10.360,2:07.640,1,9.890,2:07.460
6,11.260,2:19.340,5,10.790,2:18.900,4,10.890,2:18.750,1,9.730,2:17.340,3,10.450,2:18.100,2,10.110,2:17.580
6,11.280,2:30.620,5,11.620,2:30.520,3,10.990,2:29.750,3,12.350,2:29.690,2,11.000,2:29.100,1,10.660,2:28.240
