BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
3,12.65,12.65,2,12.55,12.55,4,12.75,12.75,1,12.47,12.47
4,9.62,22.27,2,9.55,22.10,3,9.44,22.19,1,9.55,22.02
4,9.56,31.83,2,9.53,31.63,3,9.54,31.73,1,9.52,31.54
4,9.59,41.42,2,9.58,41.21,3,9.59,41.32,1,9.58,41.12
4,9.22,50.64,2,9.15,50.36,3,9.22,50.54,1,9.20,50.32
4,8.89,59.53,1,8.75,59.11,3,8.91,59.45,2,8.93,59.25
4,8.89,1:08.42,1,8.83,1:07.94,3,8.97,1:08.42,2,8.74,1:07.99
3,9.10,1:17.52,1,8.93,1:16.87,4,9.40,1:17.82,2,8.95,1:16.94
3,9.30,1:26.814,1,9.22,1:26.089,4,9.92,1:27.735,2,9.16,1:26.091
