MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
4,7.85,7.85,5,7.97,7.97,1,7.32,7.32,2,7.47,7.47,3,7.59,7.59
4,9.66,17.51,5,9.61,17.58,1,9.46,16.78,2,9.42,16.89,3,9.40,16.99
4,9.17,26.68,4,9.10,26.68,1,9.15,25.93,2,9.14,26.03,3,9.12,26.11
5,9.48,36.16,4,9.34,36.02,1,9.20,35.13,2,9.13,35.16,3,9.24,35.35
5,9.73,45.877,4,9.60,45.608,2,9.37,44.503,1,9.17,44.323,3,9.27,44.606
