Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
2,8.89,8.89,1,8.81,8.81,3,8.97,8.97,6,9.16,9.16,4,8.98,8.98,5,9.10,9.10
3,12.37,21.26,2,12.34,21.15,4,12.38,21.35,6,12.37,21.53,5,12.51,21.49,1,11.93,21.03
3,11.92,33.18,2,11.93,33.08,5,12.02,33.37,4,11.67,33.20,6,11.98,33.47,1,11.96,32.99
4,11.73,44.91,3,11.72,44.80,5,11.59,44.96,1,11.47,44.67,6,11.55,45.02,2,11.76,44.75
4,10.53,55.44,2,10.43,55.23,1,10.24,55.20,3,10.67,55.34,6,10.62,55.64,5,10.71,55.46
3,10.40,1:05.84,2,10.48,1:05.71,1,10.45,1:05.65,5,10.64,1:05.98,4,10.25,1:05.89,6,28.74,1:24.20
4,10.14,1:15.98,3,10.19,1:15.90,2,10.17,1:15.82,5,10.15,1:16.13,1,9.60,1:15.49,6,13.24,1:37.44
3,10.05,1:26.03,4,10.15,1:26.05,2,10.17,1:25.99,5,10.11,1:26.24,1,10.40,1:25.89,6,11.58,1:49.02
4,10.52,1:36.55,3,10.49,1:36.54,2,10.45,1:36.44,5,10.51,1:36.75,1,10.42,1:36.31,6,11.81,2:00.83
3,10.31,1:46.86,4,10.46,1:47.00,2,10.31,1:46.75,5,10.47,1:47.22,1,10.31,1:46.62,6,12.00,2:12.83
3,9.75,1:56.61,4,9.70,1:56.70,1,9.68,1:56.43,5,9.83,1:57.05,2,9.91,1:56.53,6,12.09,2:24.92
2,9.72,2:06.33,3,9.70,2:06.40,4,10.16,2:06.59,5,9.90,2:06.95,1,9.65,2:06.18,6,11.80,2:36.72
2,9.60,2:15.93,3,9.57,2:15.97,4,9.97,2:16.56,5,10.41,2:17.36,1,9.63,2:15.81,6,11.93,2:48.65
3,9.79,2:25.715,2,9.59,2:25.558,4,10.66,2:27.216,5,11.13,2:28.484,1,9.70,2:25.502,6,12.38,3:01.022
