Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME
1,9.18,9.18,2,9.58,9.58,3,9.68,9.68,6,9.96,9.96,5,9.80,9.80,4,9.79,9.79
1,12.56,21.74,3,12.32,21.90,4,12.29,21.97,6,12.20,22.16,5,12.28,22.08,2,12.01,21.80
1,11.93,33.67,3,12.00,33.90,4,12.03,34.00,5,11.92,34.08,6,12.02,34.10,2,11.96,33.76
1,12.01,45.68,4,12.01,45.91,5,12.01,46.01,3,11.75,45.83,6,12.06,46.16,2,12.01,45.77
3,11.62,57.30,4,11.51,57.42,5,11.52,57.53,1,11.29,57.12,6,11.47,57.63,2,11.42,57.19
2,12.02,1:09.32,5,12.13,1:09.55,6,12.10,1:09.63,1,12.18,1:09.30,4,11.88,1:09.51,3,12.18,1:09.37
1,10.92,1:20.24,5,11.10,1:20.65,6,11.12,1:20.75,2,11.05,1:20.35,4,11.00,1:20.51,3,11.06,1:20.43
1,11.23,1:31.47,5,11.28,1:31.93,6,11.27,1:32.02,2,11.16,1:31.51,4,11.25,1:31.76,3,11.15,1:31.58
1,10.52,1:41.99,5,10.66,1:42.59,6,10.66,1:42.68,2,10.68,1:42.19,4,10.68,1:42.44,3,10.72,1:42.30
1,10.37,1:52.36,4,10.08,1:52.67,6,10.31,1:52.99,2,10.29,1:52.48,5,10.24,1:52.68,3,10.27,1:52.57
3,10.35,2:02.71,1,9.66,2:02.33,6,10.43,2:03.42,2,10.08,2:02.56,5,10.16,2:02.84,4,10.18,2:02.75
5,10.87,2:13.58,1,9.63,2:11.96,6,10.78,2:14.20,2,10.11,2:12.67,3,10.01,2:12.85,4,10.43,2:13.18
5,10.83,2:24.41,1,9.90,2:21.86,6,11.12,2:25.32,3,10.65,2:23.32,2,10.47,2:23.32,4,10.82,2:24.00
5,11.22,2:35.626,1,10.39,2:32.245,6,11.67,2:36.982,3,10.97,2:34.290,2,10.71,2:34.029,4,11.30,2:35.295
