Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME
2,7.00,7.00,1,6.82,6.82,3,7.12,7.12,4,7.31,7.31
2,8.91,15.91,1,8.84,15.66,3,8.82,15.94,4,8.96,16.27
3,8.78,24.69,1,8.42,24.08,2,8.60,24.54,4,8.68,24.95
3,8.97,33.66,1,8.46,32.54,2,8.62,33.16,4,8.77,33.72
4,9.49,43.15,1,8.72,41.26,2,8.75,41.91,3,9.32,43.04
