Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
2,8.823,8.823,6,9.222,9.222,5,8.971,8.971,4,8.949,8.949,3,8.862,8.862,1,8.586,8.586
1,13.374,22.197,6,13.566,22.788,3,13.399,22.370,5,13.688,22.637,4,13.566,22.428,2,13.615,22.200
3,12.622,34.819,5,12.446,35.235,2,12.324,34.694,4,12.446,35.083,6,12.809,35.237,1,12.460,34.660
3,12.015,46.833,6,12.038,47.273,2,12.077,46.771,4,11.887,46.971,5,11.923,47.160,1,12.039,46.699
3,12.203,59.036,6,12.153,59.425,2,12.194,58.965,4,12.198,59.168,5,12.236,59.396,1,12.137,58.836
4,10.943,1:09.979,6,10.927,1:10.352,2,10.705,1:09.670,1,10.445,1:09.613,5,10.593,1:09.989,3,11.006,1:09.842
3,10.729,1:20.708,6,10.679,1:21.031,1,10.860,1:20.530,4,11.182,1:20.795,5,10.909,1:20.898,2,10.722,1:20.564
2,9.761,1:30.468,6,9.945,1:30.976,3,10.038,1:30.568,4,9.891,1:30.687,5,9.981,1:30.879,1,9.688,1:30.252
3,10.377,1:40.845,6,10.335,1:41.311,2,10.143,1:40.711,4,10.290,1:40.977,5,10.260,1:41.139,1,10.329,1:40.581
5,10.713,1:51.558,6,10.461,1:51.772,3,10.636,1:51.347,4,10.572,1:51.549,2,10.194,1:51.334,1,10.543,1:51.124
4,10.506,2:02.064,6,10.546,2:02.319,2,10.496,2:01.842,3,10.514,2:02.063,5,10.861,2:02.195,1,10.590,2:01.714
3,10.116,2:12.180,6,10.286,2:12.605,2,10.134,2:11.977,4,10.224,2:12.287,5,10.190,2:12.385,1,10.054,2:11.768
3,9.807,2:21.986,5,9.689,2:22.294,1,9.799,2:21.775,4,9.794,2:22.081,6,9.966,2:22.351,2,10.175,2:21.943
2,9.728,2:31.715,4,9.580,2:31.874,3,9.950,2:31.725,6,10.547,2:32.627,5,10.258,2:32.609,1,9.651,2:31.594
