BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,LATVIA POSITION,LATVIA LAP TIME,LATVIA ELAPSED TIME
3,15.22,15.22,2,15.13,15.13,1,15.01,15.01,5,15.52,15.52,4,15.36,15.36
3,11.42,26.64,2,11.34,26.47,1,11.36,26.37,5,11.37,26.89,4,11.43,26.79
3,10.44,37.08,2,10.44,36.91,1,10.44,36.81,4,10.38,37.27,5,10.51,37.30
3,10.18,47.26,2,10.23,47.14,1,10.21,47.02,4,10.08,47.35,5,10.16,47.46
3,10.25,57.51,2,10.22,57.36,1,10.23,57.25,4,10.30,57.65,5,10.31,57.77
3,10.29,1:07.80,2,10.27,1:07.63,1,10.30,1:07.55,4,10.27,1:07.92,5,10.39,1:08.16
3,10.23,1:18.03,2,10.25,1:17.88,1,10.25,1:17.80,4,10.24,1:18.16,5,10.06,1:18.22
3,10.08,1:28.11,2,10.09,1:27.97,1,10.07,1:27.87,4,10.07,1:28.23,5,10.21,1:28.43
3,9.78,1:37.89,2,9.79,1:37.76,1,9.80,1:37.67,4,9.80,1:38.03,5,9.74,1:38.17
3,9.80,1:47.69,2,9.83,1:47.59,1,9.83,1:47.50,4,9.73,1:47.76,5,9.69,1:47.86
3,10.06,1:57.75,2,9.99,1:57.58,1,9.97,1:57.47,4,10.08,1:57.84,5,10.11,1:57.97
3,9.74,2:07.49,2,9.75,2:07.33,1,9.81,2:07.28,4,9.74,2:07.58,5,9.84,2:07.81
3,9.80,2:17.29,2,9.83,2:17.16,1,9.80,2:17.08,4,9.82,2:17.40,4,9.59,2:17.40
3,9.78,2:27.07,2,9.78,2:26.94,1,9.77,2:26.85,4,9.90,2:27.30,5,10.02,2:27.42
3,9.79,2:36.86,2,9.80,2:36.74,1,9.80,2:36.65,4,9.72,2:37.02,5,9.71,2:37.13
3,9.72,2:46.58,2,9.73,2:46.47,1,9.75,2:46.40,4,9.64,2:46.66,5,9.65,2:46.78
4,10.00,2:56.58,2,9.93,2:56.40,1,9.91,2:56.31,3,9.84,2:56.50,5,9.99,2:56.77
3,9.64,3:06.22,2,9.70,3:06.10,1,9.69,3:06.00,4,9.78,3:06.28,5,9.68,3:06.45
3,9.62,3:15.84,2,9.64,3:15.74,1,9.66,3:15.66,4,9.68,3:15.96,5,9.60,3:16.05
3,9.50,3:25.34,2,9.45,3:25.19,1,9.40,3:25.06,5,9.61,3:25.57,4,9.44,3:25.49
3,9.14,3:34.48,2,9.17,3:34.36,1,9.22,3:34.28,5,9.39,3:34.96,4,9.12,3:34.61
3,9.18,3:43.66,2,9.21,3:43.57,1,9.23,3:43.51,5,9.58,3:44.54,4,9.30,3:43.91
3,9.47,3:53.13,2,9.46,3:53.03,1,9.41,3:52.92,5,9.20,3:53.74,4,9.35,3:53.26
3,9.35,4:02.48,2,9.30,4:02.33,1,9.35,4:02.27,5,9.03,4:02.77,4,9.43,4:02.69
3,9.17,4:11.65,2,9.17,4:11.50,1,9.21,4:11.48,4,9.09,4:11.86,5,9.19,4:11.88
3,9.00,4:20.65,1,8.87,4:20.37,2,9.09,4:20.57,5,9.21,4:21.07,4,8.87,4:20.75
3,8.99,4:29.64,1,9.08,4:29.45,2,8.94,4:29.51,5,8.87,4:29.94,4,9.00,4:29.75
3,8.96,4:38.60,2,9.03,4:38.48,1,8.92,4:38.43,5,9.05,4:38.99,4,9.14,4:38.89
3,9.03,4:47.63,2,9.05,4:47.53,1,8.99,4:47.42,5,9.26,4:48.25,4,9.14,4:48.03
3,8.96,4:56.59,2,8.95,4:56.48,1,8.95,4:56.37,4,9.06,4:57.31,5,9.29,4:57.32
3,8.89,5:05.48,2,8.92,5:05.40,1,8.94,5:05.31,4,9.11,5:06.42,5,9.11,5:06.43
1,8.85,5:14.33,3,9.18,5:14.58,2,9.03,5:14.34,5,9.26,5:15.68,4,8.68,5:15.11
1,8.77,5:23.10,3,8.89,5:23.47,2,8.91,5:23.25,5,8.95,5:24.63,4,8.54,5:23.65
1,8.85,5:31.95,3,8.85,5:32.32,2,8.83,5:32.08,5,9.14,5:33.77,4,9.24,5:32.89
1,8.98,5:40.93,3,8.98,5:41.30,2,9.02,5:41.10,5,9.24,5:43.01,4,9.26,5:42.15
1,8.84,5:49.77,3,8.83,5:50.13,2,8.92,5:50.02,5,9.17,5:52.18,4,9.42,5:51.57
1,8.87,5:58.64,3,8.95,5:59.08,2,8.86,5:58.88,5,9.10,6:01.28,4,9.16,6:00.73
1,8.65,6:07.29,3,8.82,6:07.90,2,8.81,6:07.69,5,9.16,6:10.44,4,8.82,6:09.55
1,8.51,6:15.80,3,9.21,6:17.11,2,8.39,6:16.08,5,9.19,6:19.63,4,8.59,6:18.14
1,8.90,6:24.70,3,9.15,6:26.26,2,8.77,6:24.85,5,9.34,6:28.97,4,9.19,6:27.33
1,9.09,6:33.79,3,9.13,6:35.39,2,9.15,6:34.00,5,9.36,6:38.33,4,9.56,6:36.89
1,8.88,6:42.67,3,9.00,6:44.39,2,8.93,6:42.93,5,9.19,6:47.52,4,9.78,6:46.67
1,8.96,6:51.63,3,9.10,6:53.49,2,9.04,6:51.97,5,9.19,6:56.71,4,9.54,6:56.21
1,8.62,7:00.25,3,9.51,7:03.00,2,8.77,7:00.74,5,9.14,7:05.85,4,9.19,7:05.40
1,8.69,7:08.948,3,10.15,7:13.159,2,8.84,7:09.588,5,9.15,7:15.008,4,9.30,7:14.701
