Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
4,14.63,14.63,3,14.60,14.60,1,14.44,14.44,2,14.47,14.47
4,10.37,25.00,3,10.20,24.80,2,10.20,24.64,1,10.11,24.58
4,9.53,34.53,3,9.61,34.41,1,9.44,34.08,2,9.60,34.18
4,9.53,44.06,3,9.59,44.00,1,9.45,43.53,2,9.53,43.71
3,9.68,53.74,4,9.82,53.82,1,9.48,53.01,2,9.41,53.12
3,9.56,1:03.30,4,10.09,1:03.91,1,9.53,1:02.54,2,9.51,1:02.63
3,9.99,1:13.29,4,10.46,1:14.37,1,9.68,1:12.22,2,9.71,1:12.34
3,10.48,1:23.77,4,10.68,1:25.05,1,9.80,1:22.02,2,9.79,1:22.13
3,10.95,1:34.692,4,10.79,1:35.834,1,9.99,1:31.986,2,9.97,1:32.085
