Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Debora SECCHI POSITION,Debora SECCHI LAP TIME,Debora SECCHI ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME
2,9.39,9.39,5,9.70,9.70,3,9.52,9.52,1,9.32,9.32,6,9.99,9.99,4,9.68,9.68
2,13.22,22.62,1,12.80,22.50,4,13.28,22.80,3,13.40,22.72,5,13.18,23.18,6,13.50,23.18
3,11.81,34.44,2,11.83,34.34,5,11.84,34.65,4,11.72,34.45,1,11.05,34.23,6,11.72,34.91
4,10.85,45.29,2,10.84,45.19,5,10.86,45.51,3,10.83,45.28,1,10.85,45.09,6,10.60,45.52
3,11.32,56.62,2,11.34,56.53,5,11.22,56.73,4,11.34,56.62,1,11.31,56.40,6,11.35,56.87
2,11.56,1:08.19,3,11.71,1:08.25,5,11.65,1:08.39,4,11.66,1:08.29,1,11.64,1:08.04,6,11.76,1:08.64
3,11.58,1:19.77,2,11.46,1:19.72,6,11.66,1:20.05,4,11.59,1:19.88,1,11.60,1:19.65,5,11.32,1:19.96
1,10.82,1:30.59,3,10.96,1:30.68,5,10.88,1:30.94,4,10.89,1:30.78,2,10.95,1:30.60,6,12.87,1:32.83
2,10.60,1:41.19,3,10.69,1:41.38,6,10.76,1:41.70,5,10.82,1:41.60,4,10.79,1:41.40,1,8.24,1:41.07
1,10.45,1:51.64,4,10.52,1:51.90,5,10.38,1:52.08,6,10.55,1:52.16,3,10.44,1:51.84,2,10.66,1:51.73
1,10.30,2:01.95,4,10.22,2:02.13,3,10.00,2:02.08,5,10.16,2:02.32,2,10.23,2:02.08,6,10.60,2:02.33
1,10.11,2:12.06,3,10.26,2:12.39,6,10.82,2:12.90,4,10.09,2:12.41,2,10.28,2:12.36,5,10.46,2:12.80
1,10.38,2:22.44,3,10.29,2:22.68,5,9.86,2:22.77,4,10.31,2:22.73,2,10.27,2:22.63,6,10.69,2:23.50
1,10.48,2:32.914,6,23.80,2:46.474,5,22.38,2:45.141,3,10.66,2:33.384,2,10.37,2:32.992,4,11.12,2:34.616
