GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME
5,14.49,14.49,4,14.36,14.36,2,14.15,14.15,1,14.03,14.03,3,14.23,14.23
5,10.78,25.27,4,10.81,25.17,2,10.79,24.94,1,10.83,24.86,3,10.82,25.05
5,10.84,36.11,3,10.83,36.00,2,10.88,35.82,1,10.86,35.72,4,10.99,36.04
4,10.39,46.50,3,10.41,46.41,2,10.47,46.29,1,10.47,46.19,5,10.77,46.81
4,10.17,56.67,3,10.17,56.58,2,10.20,56.49,1,10.20,56.39,5,10.23,57.04
4,9.98,1:06.65,3,9.95,1:06.53,2,9.96,1:06.45,1,10.00,1:06.39,5,10.25,1:07.29
4,9.66,1:16.31,1,9.52,1:16.05,2,9.70,1:16.15,3,9.88,1:16.27,5,10.80,1:18.09
3,9.47,1:25.78,1,9.60,1:25.65,2,9.62,1:25.77,4,9.86,1:26.13,5,11.05,1:29.14
0,,PHOTO,0,,PHOTO,3,9.67,1:35.44,4,10.21,1:36.34,5,11.55,1:40.69
