DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,MOON Won Jun POSITION,MOON Won Jun LAP TIME,MOON Won Jun ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Cyprien VACHERON POSITION,Cyprien VACHERON LAP TIME,Cyprien VACHERON ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME
1,12.65,12.65,2,12.70,12.70,3,12.80,12.80,4,13.01,13.01,5,13.17,,6,13.26,13.26
2,9.14,21.79,1,9.01,21.71,3,9.14,21.94,4,9.06,22.07,5,9.02,,6,9.01,22.27
2,9.17,30.96,1,9.13,30.84,5,9.23,31.17,3,8.95,31.02,4,8.92,,6,9.04,31.31
2,9.13,40.09,1,9.16,40.00,5,9.21,40.38,4,9.26,40.28,3,9.07,,6,9.23,40.54
2,9.37,49.46,1,9.35,49.35,5,9.42,49.80,4,9.42,49.70,3,9.39,,6,9.37,49.91
2,9.30,58.76,1,9.28,58.63,5,9.31,59.11,3,9.17,58.87,3,9.30,,6,9.26,59.17
2,9.26,1:08.02,1,9.28,1:07.91,4,9.25,1:08.36,5,9.56,1:08.43,3,9.26,,6,9.51,1:08.68
2,9.39,1:17.41,1,9.35,1:17.26,5,9.60,1:17.96,4,9.40,1:17.83,3,9.44,,6,9.59,1:18.27
0,,PHOTO,0,,PHOTO,4,9.87,1:27.824,4,9.53,1:27.36,3,9.60,,5,9.79,1:28.045
