Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
2,7.17,7.17,1,6.95,6.95,3,7.22,7.22,4,7.47,7.47
2,9.16,16.33,1,9.00,15.95,3,9.19,16.41,4,9.30,16.77
3,8.87,25.20,1,8.68,24.63,2,8.48,24.89,4,9.02,25.79
3,8.97,34.17,1,8.71,33.34,2,8.53,33.42,4,9.25,35.04
3,9.35,43.518,1,8.94,42.276,2,9.01,42.429,4,9.50,44.536
