Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,8.52,8.52,5,9.15,9.15,4,9.00,9.00,2,8.69,8.69,3,8.82,8.82,6,9.37,9.37,7,9.49,9.49
1,12.23,20.75,6,12.10,21.25,4,11.97,20.97,3,12.18,20.87,5,12.23,21.05,7,12.05,21.42,2,11.32,20.81
1,10.37,31.12,6,10.37,31.62,5,10.54,31.51,3,10.43,31.30,4,10.35,31.40,7,10.31,31.73,2,10.33,31.14
2,10.50,41.62,6,10.42,42.04,5,10.44,41.95,3,10.42,41.72,4,10.41,41.81,7,10.45,42.18,1,10.45,41.59
1,10.10,51.72,6,10.12,52.16,4,9.93,51.88,2,10.07,51.79,5,10.15,51.96,7,10.13,52.31,3,10.23,51.82
3,9.63,1:01.35,6,9.50,1:01.66,1,9.23,1:01.11,2,9.46,1:01.25,4,9.47,1:01.43,7,9.44,1:01.75,5,9.76,1:01.58
4,9.57,1:10.92,7,9.49,1:11.15,1,9.63,1:10.74,2,9.56,1:10.81,3,9.44,1:10.87,6,9.40,1:11.15,5,9.50,1:11.08
5,9.37,1:20.29,7,9.38,1:20.53,1,9.21,1:19.95,3,9.22,1:20.03,4,9.31,1:20.18,2,8.86,1:20.01,6,9.35,1:20.43
7,25.81,1:46.10,5,8.89,1:29.42,2,9.03,1:28.98,3,9.08,1:29.11,4,9.01,1:29.19,1,8.94,1:28.95,6,9.14,1:29.57
7,15.92,2:02.02,4,9.02,1:38.44,2,9.09,1:38.07,6,9.57,1:38.68,3,9.16,1:38.35,1,9.03,1:37.98,5,9.00,1:38.57
7,13.73,2:15.75,4,9.25,1:47.69,2,9.08,1:47.15,6,10.73,1:49.41,3,9.24,1:47.59,1,9.06,1:47.04,5,9.31,1:47.88
7,13.25,2:29.00,4,9.53,1:57.22,2,9.18,1:56.33,6,11.78,2:01.19,3,9.50,1:57.09,1,9.12,1:56.16,5,9.61,1:57.49
7,11.53,2:40.53,3,9.54,2:06.76,2,9.42,2:05.75,6,12.47,2:13.66,4,9.75,2:06.84,1,9.31,2:05.47,5,10.03,2:07.52
6,11.84,2:52.364,3,9.68,2:16.440,2,10.07,2:15.817,5,12.93,2:26.585,0,,PEN,1,9.67,2:15.139,4,10.89,2:18.403
