Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME
1,9.25,9.25,2,9.39,9.39,3,9.55,9.55,4,9.78,9.78,5,9.93,9.93
1,13.22,22.47,2,13.20,22.59,3,13.23,22.78,4,13.21,22.99,5,13.09,23.02
2,11.89,34.36,3,11.99,34.58,4,11.97,34.75,5,11.88,34.87,1,11.29,34.31
1,10.93,45.29,3,10.92,45.50,4,10.90,45.65,5,10.93,45.80,2,11.00,45.31
1,10.48,55.77,3,10.51,56.01,5,10.48,56.13,4,10.32,56.12,2,10.60,55.91
2,10.00,1:05.77,4,10.00,1:06.01,5,10.07,1:06.20,1,9.58,1:05.70,3,9.99,1:05.90
1,10.24,1:16.01,4,10.22,1:16.23,5,10.19,1:16.39,1,10.31,1:16.01,3,10.24,1:16.14
1,9.80,1:25.81,4,9.94,1:26.17,5,9.94,1:26.33,2,9.97,1:25.98,3,9.96,1:26.10
1,9.68,1:35.49,4,9.67,1:35.84,5,9.69,1:36.02,2,9.63,1:35.61,3,9.56,1:35.66
2,9.28,1:44.77,4,9.27,1:45.11,5,9.52,1:45.54,1,9.14,1:44.75,3,9.34,1:45.00
2,9.22,1:53.99,4,9.34,1:54.45,5,9.88,1:55.42,1,8.94,1:53.69,3,9.06,1:54.06
2,9.20,2:03.19,4,9.56,2:04.01,5,10.25,2:05.67,1,9.05,2:02.74,3,9.15,2:03.21
3,9.51,2:12.70,4,10.10,2:14.11,5,10.70,2:16.37,1,9.14,2:11.88,2,9.26,2:12.47
3,9.82,2:22.496,4,10.37,2:24.467,5,11.24,2:27.592,1,9.51,2:21.379,2,9.61,2:22.063
