Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
1,12.45,12.45,4,12.55,12.55,2,12.49,12.49,3,12.51,12.51
2,9.63,22.09,3,9.59,22.14,1,9.27,21.76,4,9.70,22.22
2,9.50,31.59,3,9.53,31.68,1,9.59,31.36,4,9.61,31.83
2,9.17,40.76,3,9.18,40.87,1,9.40,40.76,4,9.13,40.97
1,9.51,50.28,4,9.64,50.52,2,9.55,50.31,3,9.47,50.44
4,9.75,1:00.04,2,9.05,59.58,1,9.04,59.36,3,9.21,59.66
4,9.03,1:09.07,2,9.30,1:08.88,1,9.31,1:08.67,3,9.23,1:08.89
4,9.28,1:18.36,3,9.36,1:18.25,1,9.19,1:17.87,2,9.05,1:17.94
3,10.31,1:28.663,2,9.90,1:28.143,0,,DQ,1,9.40,1:27.332
