Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Zeynep ERKILIC POSITION,Zeynep ERKILIC LAP TIME,Zeynep ERKILIC ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME
1,9.79,9.79,4,10.09,10.09,3,9.98,9.98,2,9.81,9.81,6,10.33,10.33,5,10.12,10.12
2,13.13,22.92,5,13.23,23.32,3,13.05,23.03,1,13.02,22.83,6,13.27,23.60,4,13.03,23.15
1,12.56,35.48,3,12.18,35.50,5,12.58,35.61,4,12.67,35.50,6,12.53,36.13,2,12.34,35.49
2,10.69,46.17,3,10.87,46.37,5,11.00,46.61,4,11.09,46.59,6,12.02,48.15,1,10.60,46.09
2,11.57,57.74,4,11.52,57.89,5,11.39,58.00,3,11.27,57.86,6,12.21,1:00.36,1,11.62,57.71
2,10.68,1:08.42,4,10.76,1:08.65,5,10.77,1:08.77,1,10.43,1:08.29,6,12.65,1:13.01,3,10.82,1:08.53
2,10.80,1:19.22,4,10.79,1:19.44,5,10.77,1:19.54,1,10.83,1:19.12,6,12.81,1:25.82,3,10.77,1:19.30
2,11.08,1:30.30,4,11.08,1:30.52,5,11.08,1:30.62,1,11.13,1:30.25,6,13.31,1:39.13,3,11.12,1:30.42
1,10.65,1:40.95,4,10.61,1:41.13,5,10.58,1:41.20,2,10.79,1:41.04,6,14.34,1:53.47,3,10.69,1:41.11
2,10.14,1:51.09,1,9.85,1:50.98,5,10.28,1:51.48,4,10.31,1:51.35,6,14.16,2:07.63,3,10.08,1:51.19
2,10.03,2:01.12,1,10.05,2:01.03,5,10.15,2:01.63,4,10.01,2:01.36,6,15.48,2:23.11,3,10.04,2:01.23
3,9.99,2:11.11,1,9.69,2:10.72,5,10.18,2:11.81,4,9.82,2:11.18,6,14.98,2:38.09,2,9.59,2:10.82
4,10.24,2:21.35,1,9.87,2:20.59,5,10.70,2:22.51,3,10.06,2:21.24,6,14.62,2:52.71,2,10.02,2:20.84
4,10.13,2:31.471,1,9.96,2:30.550,5,10.99,2:33.495,3,9.99,2:31.226,6,14.67,3:07.371,2,10.02,2:30.854
