FURUYA Kengo POSITION,FURUYA Kengo LAP TIME,FURUYA Kengo ELAPSED TIME,MAKOVKA Dmytro POSITION,MAKOVKA Dmytro LAP TIME,MAKOVKA Dmytro ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,14.636,14.636,3,14.735,14.735,4,14.735,14.735,1,14.570,14.570,5,14.809,14.809
3,11.472,26.108,1,11.101,25.836,4,11.522,26.257,2,11.527,26.096,5,11.508,26.317
3,10.677,36.784,1,9.838,35.673,4,10.746,37.003,2,10.621,36.717,5,10.735,37.052
3,9.628,46.411,1,10.017,45.690,4,9.532,46.534,2,9.587,46.304,5,9.725,46.776
2,9.706,56.117,1,10.344,56.034,4,9.652,56.186,3,9.833,56.136,5,10.152,56.928
1,9.788,1:05.904,4,10.408,1:06.441,3,9.861,1:06.046,2,9.819,1:05.954,5,10.456,1:07.383
1,9.650,1:15.554,4,10.534,1:16.974,2,9.744,1:15.790,3,9.860,1:15.814,5,11.076,1:18.459
1,9.644,1:25.197,4,10.946,1:27.920,3,9.672,1:25.462,2,9.546,1:25.359,5,11.364,1:29.822
1,9.29,1:34.481,4,11.03,1:38.948,3,9.27,1:34.732,2,9.18,1:34.538,5,11.29,1:41.108
