ZHANBUSINOVA Madina POSITION,ZHANBUSINOVA Madina LAP TIME,ZHANBUSINOVA Madina ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
1,10.61,10.61,2,10.73,10.73,5,11.09,11.09,3,10.90,10.90,7,11.28,11.28,6,11.23,11.23,4,10.96,10.96
4,14.14,24.75,5,14.13,24.86,1,13.38,24.47,6,14.08,24.98,2,13.20,24.48,7,13.88,25.11,3,13.68,24.64
5,12.50,37.25,5,12.39,37.25,4,12.74,37.21,3,12.15,37.13,2,12.62,37.10,7,12.31,37.42,1,12.38,37.02
5,12.27,49.52,6,12.35,49.60,4,12.21,49.42,1,11.98,49.11,3,12.22,49.32,7,12.29,49.71,2,12.18,49.20
5,11.90,1:01.42,6,11.92,1:01.52,4,11.87,1:01.29,2,11.93,1:01.04,3,11.73,1:01.05,7,11.98,1:01.69,1,11.74,1:00.94
5,10.31,1:11.73,6,10.29,1:11.81,3,10.21,1:11.50,4,10.47,1:11.51,2,10.38,1:11.43,7,10.21,1:11.90,1,10.48,1:11.42
5,10.32,1:22.05,6,10.36,1:22.17,2,10.29,1:21.79,4,10.46,1:21.97,3,10.45,1:21.88,7,10.40,1:22.30,1,10.28,1:21.70
5,10.61,1:32.66,6,10.60,1:32.77,2,10.54,1:32.33,4,10.57,1:32.54,3,10.55,1:32.43,7,10.60,1:32.90,1,10.50,1:32.20
5,10.36,1:43.02,6,10.36,1:43.13,2,10.42,1:42.75,4,10.40,1:42.94,3,10.42,1:42.85,7,10.32,1:43.22,1,10.38,1:42.58
5,9.92,1:52.94,6,10.15,1:53.28,2,9.80,1:52.55,4,9.87,1:52.81,3,9.79,1:52.64,7,10.22,1:53.44,1,9.82,1:52.40
5,9.55,2:02.49,6,10.57,2:03.85,2,9.47,2:02.02,4,9.57,2:02.38,3,9.47,2:02.11,7,10.51,2:03.95,1,9.50,2:01.90
5,9.76,2:12.25,6,11.12,2:14.97,2,9.41,2:11.43,4,9.68,2:12.06,3,9.44,2:11.55,7,11.10,2:15.05,1,9.39,2:11.29
5,9.82,2:22.07,7,11.90,2:26.87,2,9.35,2:20.78,4,9.90,2:21.96,3,9.41,2:20.96,6,11.18,2:26.23,1,9.38,2:20.67
5,10.26,2:32.315,7,12.61,2:39.455,2,9.55,2:30.314,4,10.23,2:32.175,3,9.47,2:30.413,6,11.07,2:37.285,1,9.55,2:30.209
