Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
6,11.43,11.43,5,11.33,11.33,4,11.17,11.17,2,10.83,10.83,3,10.95,10.95,1,10.68,10.68
6,15.00,26.43,5,14.99,26.32,4,14.94,26.11,2,14.88,25.71,3,14.91,25.86,1,14.89,25.57
6,12.65,39.08,5,12.67,38.99,4,12.76,38.87,2,12.93,38.64,3,12.83,38.69,1,12.99,38.56
6,13.87,52.95,5,13.86,52.85,1,13.49,52.36,2,13.80,52.44,4,13.99,52.68,3,14.01,52.57
6,11.60,1:04.55,5,11.62,1:04.47,1,11.62,1:03.98,2,11.64,1:04.08,4,11.63,1:04.31,3,11.66,1:04.23
6,11.70,1:16.25,5,11.66,1:16.13,1,11.61,1:15.59,2,11.62,1:15.70,4,11.66,1:15.97,3,11.65,1:15.88
6,11.18,1:27.43,5,11.15,1:27.28,1,11.17,1:26.76,2,11.15,1:26.85,4,11.18,1:27.15,3,11.15,1:27.03
6,10.15,1:37.58,5,10.21,1:37.49,1,10.45,1:37.21,2,10.46,1:37.31,4,10.33,1:37.48,3,10.38,1:37.41
4,9.32,1:46.90,2,9.35,1:46.84,1,9.51,1:46.72,5,9.70,1:47.01,5,9.53,1:47.01,2,9.43,1:46.84
1,9.03,1:55.93,2,9.28,1:56.12,3,9.43,1:56.15,6,9.58,1:56.59,4,9.32,1:56.33,5,9.63,1:56.47
1,9.06,2:04.99,2,9.00,2:05.12,5,9.47,2:05.62,6,9.37,2:05.96,3,9.13,2:05.46,4,9.13,2:05.60
1,9.16,2:14.15,2,9.10,2:14.22,5,9.43,2:15.05,6,9.44,2:15.40,4,9.12,2:14.58,3,8.87,2:14.47
2,9.31,2:23.46,1,9.14,2:23.36,5,9.50,2:24.55,6,9.72,2:25.12,4,9.22,2:23.80,3,9.00,2:23.47
3,9.56,2:33.016,1,9.27,2:32.618,5,9.84,2:34.367,6,10.24,2:35.352,4,9.33,2:33.125,2,9.29,2:32.758
