Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,KIM Cheol Min POSITION,KIM Cheol Min LAP TIME,KIM Cheol Min ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,10.10,10.10,5,10.53,10.53,2,10.25,10.25,3,10.34,10.34,4,10.45,10.45
3,14.17,24.27,2,13.65,24.18,4,14.15,24.40,1,13.40,23.74,5,14.09,24.54
3,11.17,35.44,2,11.13,35.31,4,11.17,35.57,1,11.16,34.90,5,11.23,35.77
3,10.81,46.25,2,10.78,46.09,5,10.80,46.37,1,10.87,45.77,4,10.53,46.30
4,10.69,56.94,3,10.77,56.86,5,10.66,57.03,1,10.86,56.63,2,10.45,56.75
4,10.50,1:07.44,1,10.24,1:07.10,5,10.50,1:07.53,3,10.54,1:07.17,2,10.41,1:07.16
4,9.65,1:17.09,1,9.66,1:16.76,5,9.66,1:17.19,3,9.75,1:16.92,2,9.69,1:16.85
4,9.96,1:27.05,1,9.95,1:26.71,5,9.94,1:27.13,3,9.99,1:26.91,2,9.96,1:26.81
4,9.67,1:36.72,1,9.66,1:36.37,5,9.67,1:36.80,3,9.68,1:36.59,2,9.67,1:36.48
4,9.50,1:46.22,1,9.56,1:45.93,5,9.51,1:46.31,3,9.52,1:46.11,2,9.54,1:46.02
4,9.73,1:55.95,1,9.75,1:55.68,5,9.81,1:56.12,3,9.83,1:55.94,2,9.80,1:55.82
2,9.08,2:05.03,1,9.26,2:04.94,5,9.41,2:05.53,4,9.48,2:05.42,3,9.40,2:05.22
2,9.55,2:14.58,1,9.55,2:14.49,4,9.67,2:15.20,5,10.12,2:15.54,3,9.85,2:15.07
2,9.56,2:24.135,1,9.48,2:23.964,3,9.80,2:24.992,5,11.10,2:26.634,4,9.93,2:25.000
