Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,Barbara KOBYLAKIEWICZ POSITION,Barbara KOBYLAKIEWICZ LAP TIME,Barbara KOBYLAKIEWICZ ELAPSED TIME
4,9.96,9.96,2,9.60,9.60,3,9.77,9.77,5,10.14,10.14,1,9.50,9.50
4,13.88,23.84,2,14.04,23.64,3,13.97,23.74,5,13.79,23.93,1,13.98,23.48
5,14.24,38.08,2,14.18,37.82,3,14.22,37.96,4,14.14,38.07,1,14.17,37.65
4,14.17,52.25,2,14.20,52.02,3,14.15,52.11,5,14.36,52.43,1,14.20,51.85
4,14.15,1:06.40,2,14.17,1:06.19,3,14.21,1:06.32,5,14.13,1:06.56,1,14.18,1:06.03
2,12.57,1:18.97,3,12.79,1:18.98,5,12.84,1:19.16,4,12.49,1:19.05,1,12.91,1:18.94
1,9.68,1:28.65,5,10.18,1:29.16,4,10.00,1:29.16,2,9.70,1:28.75,3,9.89,1:28.83
1,9.93,1:38.58,4,9.74,1:38.90,5,9.84,1:39.00,2,9.93,1:38.68,3,9.96,1:38.79
2,9.97,1:48.55,4,9.89,1:48.79,5,9.88,1:48.88,1,9.79,1:48.47,3,9.87,1:48.66
2,9.86,1:58.41,5,9.99,1:58.78,4,9.76,1:58.64,1,9.87,1:58.34,3,9.87,1:58.53
1,9.59,2:08.00,5,9.72,2:08.50,4,9.74,2:08.38,2,9.76,2:08.10,3,9.72,2:08.25
1,9.41,2:17.41,4,9.55,2:18.05,5,9.68,2:18.06,2,9.50,2:17.60,3,9.62,2:17.87
1,9.70,2:27.11,3,9.45,2:27.50,5,10.10,2:28.16,2,9.57,2:27.17,4,9.95,2:27.82
2,9.85,2:36.960,3,9.56,2:37.055,0,,PEN,1,9.68,2:36.849,4,10.40,2:38.217
