Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
1,6.79,6.79,2,7.14,7.14,4,7.28,7.28,5,7.36,7.36,3,7.23,7.23
1,8.95,15.74,2,8.90,16.04,4,9.21,16.49,5,9.46,16.82,3,9.03,16.26
1,8.49,24.23,1,8.19,24.23,4,8.67,25.16,5,8.51,25.33,3,8.50,24.76
2,8.62,32.85,1,8.54,32.77,4,8.78,33.94,4,8.61,33.94,3,8.67,33.43
2,8.85,41.70,1,8.84,41.61,5,9.37,43.31,4,9.25,43.19,3,8.94,42.37
