Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.91,6.91,3,7.06,7.06,4,7.28,7.28,2,7.00,7.00
1,9.34,16.25,3,9.42,16.48,4,9.29,16.57,2,9.36,16.36
2,9.04,25.29,3,8.90,25.38,4,8.88,25.45,1,8.91,25.27
3,9.40,34.69,2,9.16,34.54,4,9.33,34.78,1,9.04,34.31
3,9.52,44.204,2,9.33,43.867,4,9.93,44.707,1,9.27,43.578
