SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Marijn WIERSMA POSITION,Marijn WIERSMA LAP TIME,Marijn WIERSMA ELAPSED TIME
1,9.48,9.48,2,9.55,9.55,3,9.71,9.71,5,9.95,9.95,4,9.85,9.85,6,10.04,10.04
3,12.12,21.60,1,11.85,21.40,2,11.75,21.46,6,12.04,21.99,4,11.84,21.69,5,11.77,21.81
3,12.22,33.82,1,12.18,33.58,2,12.23,33.69,6,12.18,34.17,4,12.23,33.92,5,12.21,34.02
1,12.83,46.65,2,13.09,46.67,3,13.11,46.80,6,12.96,47.13,3,12.88,46.80,5,12.90,46.92
2,11.95,58.60,3,12.05,58.72,5,12.09,58.89,6,11.88,59.01,1,11.70,58.50,4,11.88,58.80
1,11.73,1:10.33,3,11.84,1:10.56,4,11.73,1:10.62,6,11.87,1:10.88,2,11.96,1:10.46,5,11.87,1:10.67
1,11.79,1:22.12,3,11.85,1:22.41,6,12.00,1:22.62,4,11.63,1:22.51,2,11.80,1:22.26,5,11.89,1:22.56
1,11.78,1:33.90,2,11.54,1:33.95,6,11.66,1:34.28,4,11.67,1:34.18,3,11.74,1:34.00,5,11.71,1:34.27
2,10.27,1:44.17,1,10.09,1:44.04,3,9.95,1:44.23,5,10.15,1:44.33,4,10.25,1:44.25,6,10.21,1:44.48
2,9.99,1:54.16,1,10.01,1:54.05,3,10.00,1:54.23,6,10.17,1:54.50,5,10.11,1:54.36,4,9.86,1:54.34
2,9.76,2:03.92,1,9.76,2:03.81,3,9.78,2:04.01,5,9.70,2:04.20,6,9.92,2:04.28,4,9.76,2:04.10
2,9.24,2:13.16,1,9.26,2:13.07,3,9.30,2:13.31,4,9.26,2:13.46,5,9.29,2:13.57,6,9.48,2:13.58
2,9.19,2:22.35,1,9.19,2:22.26,3,9.27,2:22.58,5,9.29,2:22.75,4,9.03,2:22.60,6,9.46,2:23.04
2,9.26,2:31.61,1,9.27,2:31.53,4,9.57,2:32.15,5,9.45,2:32.20,3,9.10,2:31.70,6,10.15,2:33.195
