Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
3,13.04,13.04,1,12.72,12.72,2,12.94,12.94
3,9.50,22.54,1,9.55,22.27,2,9.47,22.41
3,9.45,31.99,1,9.46,31.73,2,9.44,31.85
3,9.43,41.42,1,9.49,41.22,2,9.48,41.33
3,9.53,50.95,1,9.56,50.78,2,9.53,50.86
1,9.47,1:00.42,3,9.70,1:00.48,2,9.59,1:00.45
1,8.96,1:09.38,3,9.69,1:10.17,2,9.11,1:09.56
1,9.06,1:18.44,3,9.88,1:20.05,2,9.02,1:18.58
1,9.17,1:27.606,3,10.22,1:30.269,2,9.12,1:27.699
