Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,6.97,6.97,1,6.85,6.85,3,7.12,7.12,4,7.28,7.28
2,9.09,16.06,1,9.11,15.96,3,9.08,16.20,4,9.05,16.33
2,8.57,24.63,1,8.56,24.52,3,8.56,24.76,4,8.55,24.88
2,8.66,33.29,1,8.67,33.19,3,8.60,33.36,4,8.64,33.52
0,,PEN,1,8.85,42.033,2,8.84,42.198,3,8.90,42.420
