Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME
2,7.421,7.421,1,7.265,7.265,3,7.502,7.502,4,7.617,7.617
3,9.767,17.188,1,9.682,16.947,2,9.683,17.185,4,9.723,17.339
4,9.417,26.604,1,9.233,26.180,2,9.021,26.206,3,9.206,26.545
4,9.836,36.440,3,10.130,36.309,1,9.369,35.574,2,9.379,35.924
4,10.12,46.560,1,8.89,45.198,2,9.69,45.258,3,9.60,45.516
