Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME
2,8.84,8.84,3,8.89,8.89,5,9.07,9.07,4,8.97,8.97,1,8.67,8.67,6,9.37,9.37
4,12.49,21.33,3,12.42,21.31,6,12.58,21.65,5,12.48,21.45,2,12.54,21.21,1,11.63,21.00
4,11.04,32.37,3,10.97,32.28,6,10.88,32.53,5,11.00,32.45,2,10.96,32.17,1,11.05,32.05
4,11.15,43.52,3,11.14,43.42,6,11.12,43.65,5,11.14,43.59,2,11.13,43.30,1,11.15,43.20
5,10.97,54.49,2,10.92,54.34,6,10.88,54.53,4,10.84,54.43,3,11.05,54.35,1,11.05,54.25
3,10.32,1:04.81,5,10.74,1:05.08,6,10.68,1:05.21,1,10.06,1:04.49,4,10.60,1:04.95,2,10.45,1:04.70
4,10.72,1:15.53,1,10.12,1:15.20,5,10.45,1:15.66,2,10.86,1:15.35,6,10.72,1:15.67,3,10.71,1:15.41
3,9.93,1:25.46,1,10.08,1:25.28,5,10.03,1:25.69,4,10.26,1:25.61,6,10.03,1:25.70,2,10.00,1:25.41
3,10.54,1:36.00,1,10.43,1:35.71,5,10.58,1:36.27,4,10.50,1:36.11,6,10.70,1:36.40,2,10.46,1:35.87
3,10.32,1:46.32,1,10.30,1:46.01,5,10.31,1:46.58,4,10.36,1:46.47,6,10.34,1:46.74,2,10.35,1:46.22
3,10.10,1:56.42,1,10.13,1:56.14,5,10.14,1:56.72,4,10.13,1:56.60,6,10.11,1:56.85,2,10.05,1:56.27
3,9.79,2:06.21,1,9.90,2:06.04,5,10.26,2:06.98,4,10.31,2:06.91,6,10.28,2:07.13,2,9.79,2:06.06
3,9.91,2:16.12,2,10.00,2:16.04,4,10.47,2:17.45,5,10.59,2:17.50,6,10.53,2:17.66,1,9.65,2:15.71
3,10.20,2:26.311,2,10.11,2:26.142,4,10.18,2:27.622,6,11.34,2:28.835,5,10.77,2:28.429,1,9.95,2:25.657
