SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME
4,9.09,9.09,6,9.34,9.34,5,9.22,9.22,1,8.63,8.63,3,8.99,8.99,2,8.75,8.75
4,11.06,20.15,6,11.11,20.45,5,11.13,20.35,1,11.14,19.77,3,11.10,20.09,2,11.13,19.88
3,10.23,30.38,6,10.29,30.74,5,10.11,30.46,1,10.31,30.08,4,10.35,30.44,2,10.31,30.19
4,10.11,40.49,6,10.07,40.81,5,10.05,40.51,1,10.06,40.14,3,9.98,40.42,2,9.99,40.18
3,9.98,50.47,6,9.89,50.70,5,10.07,50.58,1,10.00,50.14,4,10.09,50.51,2,10.05,50.23
3,9.74,1:00.21,6,9.86,1:00.56,4,9.73,1:00.31,1,9.88,1:00.02,5,9.81,1:00.32,1,9.79,1:00.02
4,9.75,1:09.96,6,9.63,1:10.19,3,9.63,1:09.94,1,9.62,1:09.64,5,9.72,1:10.04,2,9.70,1:09.72
3,9.63,1:19.59,6,9.43,1:19.62,3,9.65,1:19.59,1,9.61,1:19.25,5,9.56,1:19.60,2,9.74,1:19.46
2,9.50,1:29.09,3,9.53,1:29.15,6,9.90,1:29.49,1,9.48,1:28.73,5,9.65,1:29.25,4,9.76,1:29.22
2,9.49,1:38.58,3,9.45,1:38.60,5,9.78,1:39.27,1,9.68,1:38.41,4,9.76,1:39.01,6,10.15,1:39.37
2,9.59,1:48.17,3,9.73,1:48.33,4,9.66,1:48.93,1,9.67,1:48.08,4,9.92,1:48.93,6,10.59,1:49.96
2,9.46,1:57.63,3,9.49,1:57.82,4,10.08,1:59.01,1,9.54,1:57.62,5,10.32,1:59.25,6,11.20,2:01.16
1,9.36,2:06.99,2,9.36,2:07.18,4,10.50,2:09.51,3,9.81,2:07.43,5,10.82,2:10.07,6,11.47,2:12.63
1,9.42,2:16.366,2,9.59,2:16.823,4,10.97,2:20.452,3,9.87,2:17.274,5,11.30,2:21.382,6,11.80,2:24.515
