CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
2,13.97,13.97,4,14.17,14.17,3,14.09,14.09,1,13.79,13.79,5,14.27,14.27
3,11.23,25.20,4,11.15,25.32,2,11.07,25.16,1,11.22,25.01,5,11.14,25.41
4,10.36,35.56,2,10.02,35.34,3,10.32,35.48,1,10.31,35.32,5,10.21,35.62
4,9.45,45.01,1,9.37,44.71,3,9.43,44.91,2,9.49,44.81,5,9.49,45.11
4,9.58,54.59,1,9.65,54.36,3,9.55,54.46,2,9.61,54.42,5,9.66,54.77
2,8.95,1:03.54,3,9.44,1:03.80,1,9.07,1:03.53,4,9.55,1:03.97,5,9.25,1:04.02
1,9.03,1:12.57,3,9.30,1:13.10,2,9.18,1:12.71,5,9.53,1:13.50,4,9.19,1:13.21
1,9.39,1:21.96,3,9.42,1:22.52,2,9.40,1:22.11,5,9.84,1:23.34,4,9.42,1:22.63
1,9.63,1:31.583,3,9.56,1:32.063,2,9.53,1:31.630,5,10.40,1:33.722,4,9.58,1:32.199
