Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME
0,,,2,15.430,15.430,1,15.220,15.220,0,,
2,0.000,26.920,4,11.600,27.040,1,11.490,26.710,3,0.000,26.930
3,11.440,38.360,4,11.400,38.440,1,11.390,38.100,2,11.390,38.320
4,10.770,49.140,2,10.630,49.080,1,10.790,48.890,3,10.760,49.080
4,9.710,58.850,3,9.750,58.830,1,9.680,58.580,2,9.710,58.800
2,9.710,1:08.570,4,9.860,1:08.690,1,9.890,1:08.470,3,9.880,1:08.680
2,9.740,1:18.310,3,9.750,1:18.440,1,9.730,1:18.210,4,10.020,1:18.700
1,10.040,1:28.360,2,10.000,1:28.450,3,10.650,1:28.870,4,10.270,1:28.980
1,10.600,1:38.970,2,10.550,1:39.000,4,11.470,1:40.340,3,10.430,1:39.410
