Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,6.957,6.957,3,7.090,7.090,4,7.235,7.235,1,6.828,6.828
1,8.874,15.831,2,8.758,15.847,4,9.094,16.329,3,9.279,16.106
2,8.679,24.509,3,9.210,25.057,4,8.738,25.066,1,8.396,24.502
2,8.786,33.295,4,8.913,33.969,3,8.853,33.919,1,8.750,33.251
2,9.09,42.382,4,9.43,43.395,3,9.06,42.973,1,9.01,42.258
