Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,6.600,6.600,2,6.730,6.730,4,7.140,7.140,3,6.860,6.860
2,8.860,15.470,1,8.560,15.290,4,8.970,16.110,3,8.840,15.710
1,8.430,23.900,2,8.690,23.990,4,8.620,24.730,3,8.320,24.040
1,8.440,32.340,2,8.490,32.480,4,8.710,33.450,3,8.660,32.700
1,8.960,41.310,3,8.880,41.360,4,8.920,42.380,2,8.640,41.350
