Petia GEORGIEVA POSITION,Petia GEORGIEVA LAP TIME,Petia GEORGIEVA ELAPSED TIME,Ivanie BLONDIN POSITION,Ivanie BLONDIN LAP TIME,Ivanie BLONDIN ELAPSED TIME,Beata PODWYSOCKA POSITION,Beata PODWYSOCKA LAP TIME,Beata PODWYSOCKA ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME
3,7.83,7.83,4,7.99,7.99,1,7.42,7.42,2,7.68,7.68
4,10.53,18.36,3,9.98,17.98,1,10.09,17.51,2,9.92,17.61
4,10.18,28.54,3,9.35,27.33,2,9.59,27.10,1,9.42,27.04
4,10.42,38.97,2,9.41,36.74,3,9.67,36.78,1,9.34,36.39
4,10.83,49.796,2,9.58,46.320,3,9.83,46.601,1,9.82,46.203
